Country,Region,Flaccid Length (cm),Erect Length (cm),Flaccid Circumference (cm),Erect Circumference (cm),Flaccid Volume (cm³),Erect Volume (cm³),Growth Length ,Growth Circumference ,Growth Volume ,N ,Method
Afghanistan,Central Asia,9.5,13.69,9.1,11.42,62.6,142.08,1.441052632,1.254945055,2.269648562,100,Measured
Albania,Europe,9.8,14.19,9.7,12.16,73.38,166.97,1.447959184,1.253608247,2.275415645,95,Self reported
Algeria,Africa,9.9,14.49,8.9,10.97,62.4,138.76,1.463636364,1.23258427,2.223717949,738,Self reported
Angola,Africa,10,15.73,9.6,11.82,73.34,174.89,1.573,1.23125,2.38464685,978,Measured
Argentina,South America,9.4,14.88,8.9,11.45,59.25,155.24,1.582978723,1.286516854,2.620084388,1669,Self reported
Armenia,Europe,10.5,13.12,8.6,10.78,61.8,121.33,1.24952381,1.253488372,1.963268608,469,Measured
Australia,Australia,10,15.7,10.5,13.22,87.73,218.35,1.57,1.259047619,2.488886356,1638,Self reported
Austria,Europe,11.7,14.69,9.7,12.1,87.6,171.15,1.255555556,1.24742268,1.953767123,547,Self reported
Bahrein,Western Asia,8.8,12.93,8.6,11.19,51.79,128.84,1.469318182,1.301162791,2.487738946,492,Self reported
Bangladesh,Southeast Asia,8.2,11.2,8.1,10.48,42.81,97.89,1.365853659,1.29382716,2.286615277,200,Measured
Belarus,Europe,11.2,13.98,9.1,11.38,73.81,144.07,1.248214286,1.250549451,1.951903536,100,Measured
Belgium,Europe,12.1,15.14,10.6,13.26,108.19,211.84,1.251239669,1.250943396,1.958036787,875,Self reported
Belize,Central America/Caribean,10.9,15.75,10.1,12.87,88.48,207.6,1.444954128,1.274257426,2.346292948,68,Measured
Bhutan,Asia,8.1,11.12,8.3,10.31,44.4,94.06,1.372839506,1.242168675,2.118468468,147,Measured
Bolivia,South America,9.2,14.7,8.8,11.31,56.69,149.63,1.597826087,1.285227273,2.639442582,647,Measured
Bosnia and Herzegovina,Europe,12.2,15.27,9.6,12.08,89.47,177.32,1.251639344,1.258333333,1.981893372,618,Self reported
Brazil,South America,9.9,15.7,10.2,12.99,81.96,210.82,1.585858586,1.273529412,2.572230356,2600,Measured
Bulgaria,Europe,11.7,14.66,9.3,11.69,80.53,159.42,1.252991453,1.256989247,1.979634919,930,Measured
Burkina Faso,Africa,10.3,15.19,9.8,12.18,78.72,179.33,1.474757282,1.242857143,2.278074187,273,Self reported
Cambodia,Southeast Asia,7.2,9.84,8.6,11.12,42.38,96.83,1.366666667,1.293023256,2.284804153,112,Measured
Cameroon,Africa,10.6,16.65,9.9,12.29,82.67,200.13,1.570754717,1.241414141,2.420829805,421,Self reported
Canada,North America,9.5,13.92,9.8,12.32,72.6,168.13,1.465263158,1.257142857,2.31584022,890,Measured
Cape Verde,Africa,9.6,14.05,10,12.38,76.39,171.36,1.463541667,1.238,2.243225553,57,Measured
Central African Rep.,Africa,9.8,15.33,9.8,12.07,74.9,177.72,1.564285714,1.231632653,2.372763685,59,Self reported
Chad,Africa,9.8,15.39,9.8,12.12,74.9,179.9,1.570408163,1.236734694,2.401869159,201,Measured
Chile,South America,9.2,14.59,9.6,12.28,67.47,175.08,1.585869565,1.279166667,2.59493108,789,Measured
China,Asia,8.8,12.9,8.9,11.14,55.47,127.39,1.465909091,1.251685393,2.296556697,8976,Measured
Colombia,South America,10.5,16.75,10.1,12.98,85.24,224.57,1.595238095,1.285148515,2.634561239,2479,Measured
Congo-Brazzaville,Africa,11,17.33,10.3,12.74,92.87,223.83,1.575454545,1.236893204,2.410143211,157,Measured
Costa Rica,Central America/Caribean,9.6,13.81,8.9,11.25,60.51,139.09,1.438541667,1.264044944,2.298628326,1800,Measured
Cote d'Ivoire,Africa,10.4,15.22,9.9,12.27,81.11,182.35,1.463461538,1.239393939,2.248181482,120,Measured
Croatia,Europe,11.8,14.77,10.4,12.99,101.56,198.33,1.251694915,1.249038462,1.952835762,521,Self reported
Cuba,Central America/Caribean,11,15.87,9.6,12.13,80.67,185.82,1.442727273,1.263541667,2.303458535,289,Measured
Cyprus,Western Asia,8.3,12.17,8.9,11.59,52.32,130.09,1.46626506,1.302247191,2.486429664,400,Measured
Czech Republic,Europe,11.3,14.17,9.3,11.65,77.77,153.04,1.253982301,1.252688172,1.967853928,1500,Self reported
Denmark,Europe,12,15.07,10.6,13.26,107.3,210.86,1.255833333,1.250943396,1.965144455,854,Measured
Dominican Republic,Central America/Caribean,11.1,15.99,9.6,12.17,81.41,188.46,1.440540541,1.267708333,2.314949023,460,Self reported
DR Congo,Africa,11.4,17.93,10.6,13.05,101.93,242.99,1.572807018,1.231132075,2.383890906,575,Self reported
Ecuador,South America,11.1,17.59,10.5,13.44,97.38,252.85,1.584684685,1.28,2.596529061,1000,Measured
Egypt,Africa,9.4,13.85,9.8,12.11,71.84,161.63,1.473404255,1.235714286,2.249860802,2036,Measured
El Salvador,Central America/Caribean,8.8,12.71,8.5,10.75,50.6,116.88,1.444318182,1.264705882,2.309881423,127,Measured
Estonia,Europe,11,13.78,10,12.54,87.54,172.44,1.252727273,1.254,1.969842358,847,Measured
Ethiopia,Africa,9.2,13.53,9.8,12.18,70.31,159.73,1.470652174,1.242857143,2.271796331,89,Self reported
Finland,Europe,9.2,13.59,8.9,11.2,57.99,135.66,1.477173913,1.258426966,2.339368857,426,Measured
France,Europe,9.9,14.5,10.9,13.63,93.6,214.36,1.464646465,1.250458716,2.29017094,3260,Measured
Gambia,Africa,10.3,15.07,9.4,11.68,72.42,163.6,1.463106796,1.242553191,2.259044463,83,Self reported
Georgia,Europe,9.4,13.87,9.2,11.46,63.31,144.96,1.475531915,1.245652174,2.289685674,97,Measured
Germany,Europe,9.9,14.48,9.9,12.4,77.21,177.17,1.462626263,1.252525253,2.294650952,231,Measured
Ghana,Africa,11,17.31,10.3,12.79,92.87,225.33,1.573636364,1.241747573,2.426294821,233,Self reported
Greece,Europe,8.9,12.18,9.5,11.92,63.92,137.72,1.368539326,1.254736842,2.15456821,579,Measured
Greenland,North America,9.4,13.87,9.8,12.3,71.84,166.98,1.475531915,1.255102041,2.324331849,84,Self reported
Guatemala,Central America/Caribean,9.2,13.24,8.7,11,55.41,127.49,1.439130435,1.264367816,2.300848222,50,Measured
Guyana,South America,9.3,14.75,8.7,11.08,56.02,144.1,1.586021505,1.273563218,2.572295609,133,Measured
Haiti,Central America/Caribean,10.8,15.67,9.5,12.1,77.56,182.57,1.450925926,1.273684211,2.353919546,380,Self reported
Hawaii,Pacific Islands,9.1,13.21,9.1,11.5,59.97,139.02,1.451648352,1.263736264,2.31815908,120,Measured
Honduras,Central America/Caribean,8.6,12.4,8.7,11.05,51.8,120.49,1.441860465,1.270114943,2.326061776,100,Measured
"Hong Kong SAR, China",Asia,8.2,11.19,8.6,10.7,48.26,101.95,1.364634146,1.244186047,2.112515541,269,Measured
Hungary,Europe,10,14.68,9.4,11.81,70.31,162.94,1.468,1.256382979,2.317451287,480,Self reported
Iceland,Europe,9.9,14.56,9.6,12.01,72.61,167.12,1.470707071,1.251041667,2.301611348,590,Self reported
India,South Asia,8.8,12.93,9.2,11.49,59.27,135.84,1.469318182,1.248913043,2.291884596,301,Measured
Indonesia,Southeast Asia,8.5,11.67,9.1,11.79,56.01,129.09,1.372941176,1.295604396,2.304767006,2850,Self reported
Iran,South Asia,8.5,11.58,8.6,11.72,50.03,126.58,1.362352941,1.362790698,2.530081951,1600,Measured
Iraq,South Asia,8.3,11.35,9.1,11.33,54.7,115.94,1.36746988,1.245054945,2.119561243,248,Measured
Ireland,Europe,8.7,12.78,10.1,12.69,70.62,163.77,1.468965517,1.256435644,2.319031436,860,Measured
Israel,Western Asia,9.3,13.6,9,11.7,59.95,148.15,1.462365591,1.3,2.471226022,350,Self reported
Italy,Europe,8.5,12.5,9.7,12.19,63.64,147.81,1.470588235,1.256701031,2.322595852,3300,Measured
Jamaica,Central America/Caribean,11.3,16.3,9.5,12.01,81.16,187.1,1.442477876,1.264210526,2.305322819,59,Measured
Japan,Asia,8.6,12.6,9.2,11.5,57.92,132.6,1.465116279,1.25,2.289364641,500,Self reported
Jordan,Western Asia,9.2,13.5,9.2,11.89,61.97,151.88,1.467391304,1.292391304,2.450863321,469,Measured
Kazakhstan,Central Asia,9.3,13.46,9.1,11.34,61.29,137.74,1.447311828,1.246153846,2.24734867,100,Self reported
Kenya,Africa,10.4,16.28,10,12.33,82.76,196.96,1.565384615,1.233,2.379893668,258,Self reported
Kiribati,Pacific Islands,9.8,14.19,8.9,11.33,61.77,144.95,1.447959184,1.273033708,2.346608386,53,Measured
"Korea, North",Asia,7,9.6,9.5,11.86,50.27,107.46,1.371428571,1.248421053,2.137656654,800,Measured
"Korea, Rep.",Asia,7.9,10.8,9.1,11.3,52.06,109.74,1.367088608,1.241758242,2.107952363,878,Measured
Kuwait,Western Asia,8.3,11.38,8.8,11.47,51.15,119.14,1.371084337,1.303409091,2.329227761,380,Measured
Laos,Asia,7.4,10.14,8.7,10.86,44.57,95.17,1.37027027,1.248275862,2.135292798,60,Measured
Latvia,Europe,10,14.69,9.5,11.93,71.82,166.38,1.469,1.255789474,2.316624896,267,Self reported
Lebanon,Western Asia,10.7,16.82,9.6,12.39,78.47,205.47,1.571962617,1.290625,2.618452912,279,Self reported
Libya,Africa,9.3,13.74,9.4,11.68,65.39,149.16,1.477419355,1.242553191,2.281082734,93,Measured
Lithuania,Europe,9.9,14.55,9,11.27,63.81,147.06,1.46969697,1.252222222,2.304654443,267,Self reported
Luxembourg,Europe,9.4,13.82,9.1,11.4,61.94,142.92,1.470212766,1.252747253,2.307394253,279,Self reported
"Macedonia, FYR",Europe,9.5,13.98,9.6,11.97,69.67,159.4,1.471578947,1.246875,2.287928807,230,Measured
Mexico,North America,9.6,14.09,8.9,11.18,60.51,140.15,1.467708333,1.256179775,2.316146092,477,Measured
Moldova,Europe,9.4,13.76,9.3,11.64,64.7,148.36,1.463829787,1.251612903,2.293044822,366,Measured
Mongolia,Asia,8.7,12.77,8.5,10.61,50.02,114.4,1.467816092,1.248235294,2.287085166,370,Measured
Montenegro,Europe,9.2,13.56,9.5,11.96,66.07,154.35,1.473913043,1.258947368,2.33615862,89,Measured
Morocco,Africa,9.4,13.86,10,12.41,74.8,169.86,1.474468085,1.241,2.270855615,1034,Measured
Myanmar,Asia,7.4,10.1,8.5,10.64,42.55,90.99,1.364864865,1.251764706,2.138425382,158,Measured
Nepal,Asia,7.3,9.98,9.5,11.87,52.43,111.9,1.367123288,1.249473684,2.13427427,437,Measured
Netherlands,Europe,9.9,15.6,10.8,13.55,91.89,227.93,1.575757576,1.25462963,2.480465774,2363,Measured
New Caledonia,Pacific Islands,9.2,13.24,9.3,11.81,63.32,146.95,1.439130435,1.269892473,2.320751737,103,Measured
